Fund Holdings as of,"Apr 17, 2025"
"NGD","NEW GOLD INC","Materials","Equity","16,940,485.32","0.12","16,940,485.32","3,347,922.00","5.06","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CHP.UN","CHOICE PROPERTIES REAL ESTATE INVE","Real Estate","Equity","16,933,236.45","0.12","16,933,236.45","1,152,705.00","14.69","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GRT.UN","GRANITE REAL ESTATE INVESTMENT STA","Real Estate","Equity","16,577,105.22","0.11","16,577,105.22","262,379.00","63.18","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"HBM","HUDBAY MINERALS INC","Materials","Equity","16,206,834.04","0.11","16,206,834.04","1,663,946.00","9.74","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CIX","CI FINANCIAL CORP","Financials","Equity","16,195,875.35","0.11","16,195,875.35","519,265.00","31.19","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AG","FIRST MAJESTIC SILVER CORP","Materials","Equity","16,088,126.40","0.11","16,088,126.40","1,779,660.00","9.04","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NXE","NEXGEN ENERGY LTD","Energy","Equity","15,729,082.56","0.11","15,729,082.56","2,397,726.00","6.56","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"OGC","OCEANAGOLD CORPORATION CORP","Materials","Equity","15,690,260.34","0.11","15,690,260.34","3,005,797.00","5.22","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SJ","STELLA JONES INC","Materials","Equity","15,664,846.80","0.11","15,664,846.80","235,420.00","66.54","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ACO.X","ATCO LTD CLASS I","Utilities","Equity","15,506,352.61","0.11","15,506,352.61","308,707.00","50.23","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PEY","PEYTO EXPLORATION & DEVELOPMENT CO","Energy","Equity","15,035,645.04","0.10","15,035,645.04","837,174.00","17.96","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATZ","ARITZIA SUBORDINATE VOTING INC","Consumer Discretionary","Equity","14,973,789.28","0.10","14,973,789.28","355,841.00","42.08","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GEI","GIBSON ENERGY INC","Energy","Equity","14,817,703.60","0.10","14,817,703.60","688,555.00","21.52","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FCR.UN","FIRST CAPITAL REALTY REAL ESTATE I","Real Estate","Equity","14,808,877.48","0.10","14,808,877.48","898,052.00","16.49","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DPM","DUNDEE PRECIOUS METALS INC","Materials","Equity","14,500,366.92","0.10","14,500,366.92","738,684.00","19.63","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IGM","IGM FINANCIAL INC","Financials","Equity","14,391,558.02","0.10","14,391,558.02","342,086.00","42.07","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CS","CAPSTONE COPPER CORP","Materials","Equity","14,063,184.00","0.10","14,063,184.00","2,343,864.00","6.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SRU.UN","SMARTCENTRES RL ESTATE INVESTMENT","Real Estate","Equity","13,926,002.67","0.10","13,926,002.67","546,761.00","25.47","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"OLA","ORLA MINING LTD","Materials","Equity","13,910,133.44","0.10","13,910,133.44","891,104.00","15.61","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TA","TRANSALTA CORP","Utilities","Equity","13,414,670.42","0.09","13,414,670.42","1,111,406.00","12.07","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KNT","K92 MINING INC","Materials","Equity","13,118,327.86","0.09","13,118,327.86","1,010,657.00","12.98","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"USD","USD CASH","Cash and/or Derivatives","Cash","13,048,391.86","0.09","13,048,391.86","9,403,230.00","138.77","United States","-","CAD","0.72","USD"
"SSRM","SSR MINING INC","Materials","Equity","12,749,834.44","0.09","12,749,834.44","850,556.00","14.99","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DIR.UN","DREAM INDUSTRIAL REAL ESTATE INVES","Real Estate","Equity","12,302,312.34","0.08","12,302,312.34","1,170,534.00","10.51","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SSL","SANDSTORM GOLD LTD","Materials","Equity","12,194,291.00","0.08","12,194,291.00","1,037,812.00","11.75","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PBH","PREMIUM BRANDS HOLDINGS CORP","Consumer Staples","Equity","12,041,269.68","0.08","12,041,269.68","154,792.00","77.79","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATS","ATS CORP","Industrials","Equity","11,908,871.28","0.08","11,908,871.28","351,917.00","33.84","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CXB","CALIBRE MINING CORP","Materials","Equity","11,622,623.55","0.08","11,622,623.55","3,620,755.00","3.21","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FVI","FORTUNA MINING CORP","Materials","Equity","11,502,152.26","0.08","11,502,152.26","1,302,622.00","8.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MDA","MDA SPACE LTD","Industrials","Equity","11,375,217.72","0.08","11,375,217.72","461,844.00","24.63","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WDO","WESDOME GOLD MINES LTD","Materials","Equity","11,337,161.35","0.08","11,337,161.35","633,715.00","17.89","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BB","BLACKBERRY LTD","Information Technology","Equity","10,992,424.68","0.08","10,992,424.68","2,509,686.00","4.38","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TPZ","TOPAZ ENERGY CORP","Energy","Equity","10,967,944.40","0.07","10,967,944.40","460,838.00","23.80","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATH","ATHABASCA OIL CORP","Energy","Equity","10,959,894.36","0.07","10,959,894.36","2,200,782.00","4.98","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"HR.UN","HANDR REAL ESTATE INVESTMENT TRUST","Real Estate","Equity","10,915,841.46","0.07","10,915,841.46","1,110,462.00","9.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BLX","BORALEX INC CLASS A","Utilities","Equity","10,871,573.76","0.07","10,871,573.76","369,279.00","29.44","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NWC","NORTH WEST COMPANY INC","Consumer Staples","Equity","10,828,733.85","0.07","10,828,733.85","201,315.00","53.79","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GMIN","G MINING VENTURES CORP","Materials","Equity","10,789,723.52","0.07","10,789,723.52","524,792.00","20.56","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MX","METHANEX CORP","Materials","Equity","10,682,118.72","0.07","10,682,118.72","285,313.00","37.44","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EQB","EQB INC","Financials","Equity","10,651,077.60","0.07","10,651,077.60","115,760.00","92.01","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BEI.UN","BOARDWALK REAL ESTATE INVESTMENT T","Real Estate","Equity","10,557,806.49","0.07","10,557,806.49","169,277.00","62.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SES","SECURE WASTE INFRASTRUCTURE CORP","Energy","Equity","10,498,226.31","0.07","10,498,226.31","815,713.00","12.87","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AIF","ALTUS GROUP LTD","Real Estate","Equity","9,763,523.55","0.07","9,763,523.55","196,647.00","49.65","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EIF","EXCHANGE INCOME CORP","Industrials","Equity","9,676,522.68","0.07","9,676,522.68","198,127.00","48.84","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"RUS","RUSSEL METALS INC","Industrials","Equity","9,149,789.34","0.06","9,149,789.34","239,586.00","38.19","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BHC","BAUSCH HEALTH COMPANIES INC","Health Care","Equity","9,003,340.99","0.06","9,003,340.99","1,273,457.00","7.07","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GSY","GOEASY LTD","Financials","Equity","8,725,080.00","0.06","8,725,080.00","55,250.00","157.92","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"INE","INNERGEX RENEWABLE ENERGY INC","Utilities","Equity","8,634,236.56","0.06","8,634,236.56","640,522.00","13.48","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MAG","MAG SILVER CORP","Materials","Equity","8,486,383.32","0.06","8,486,383.32","394,532.00","21.51","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KMP.UN","KILLAM APARTMENT REIT UNITS CLASS","Real Estate","Equity","8,448,761.58","0.06","8,448,761.58","503,202.00","16.79","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CG","CENTERRA GOLD INC","Materials","Equity","8,439,545.10","0.06","8,439,545.10","883,722.00","9.55","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NVA","NUVISTA ENERGY LTD","Energy","Equity","8,418,984.89","0.06","8,418,984.89","680,597.00","12.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CCA","COGECO COMMUNICATIONS SUBORDINATE","Communication","Equity","8,404,509.98","0.06","8,404,509.98","127,942.00","65.69","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AP.UN","ALLIED PROPERTIES REAL ESTATE INVT","Real Estate","Equity","8,281,022.64","0.06","8,281,022.64","538,428.00","15.38","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LNR","LINAMAR CORP","Consumer Discretionary","Equity","8,118,282.60","0.06","8,118,282.60","168,604.00","48.15","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TVE","TAMARACK VALLEY ENERGY LTD","Energy","Equity","7,939,919.48","0.05","7,939,919.48","2,046,371.00","3.88","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TFPM","TRIPLE FLAG PRECIOUS METALS CORP","Materials","Equity","7,844,905.48","0.05","7,844,905.48","257,717.00","30.44","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MFI","MAPLE LEAF FOODS INC","Consumer Staples","Equity","7,688,984.94","0.05","7,688,984.94","312,942.00","24.57","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TVK","TERRAVEST INDUSTRIES INC","Energy","Equity","7,529,435.30","0.05","7,529,435.30","55,535.00","135.58","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LSPD","LIGHTSPEED COMMERCE INC","Information Technology","Equity","7,513,068.42","0.05","7,513,068.42","583,766.00","12.87","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LIF","LABRADOR IRON ORE ROYALTY CORP","Materials","Equity","7,451,688.72","0.05","7,451,688.72","270,872.00","27.51","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AAV","ADVANTAGE ENERGY LTD","Energy","Equity","7,048,933.88","0.05","7,048,933.88","706,306.00","9.98","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"RCH","RICHELIEU HARDWARE LTD","Industrials","Equity","7,036,585.80","0.05","7,036,585.80","215,780.00","32.61","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BIR","BIRCHCLIFF ENERGY LTD","Energy","Equity","7,015,932.30","0.05","7,015,932.30","1,140,802.00","6.15","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TSU","TRISURA GROUP LTD","Financials","Equity","6,986,832.55","0.05","6,986,832.55","200,483.00","34.85","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BTE","BAYTEX ENERGY CORP","Energy","Equity","6,860,658.86","0.05","6,860,658.86","2,834,983.00","2.42","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FRU","FREEHOLD ROYALTIES LTD","Energy","Equity","6,805,967.19","0.05","6,805,967.19","578,247.00","11.77","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CRR.UN","CROMBIE REAL ESTATE INVESTMENT TRU","Real Estate","Equity","6,767,135.04","0.05","6,767,135.04","462,236.00","14.64","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IIP.UN","INTERRENT REAL ESTATE INVESTMENT T","Real Estate","Equity","6,699,546.87","0.05","6,699,546.87","630,249.00","10.63","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DML","DENISON MINES CORP","Energy","Equity","6,677,094.06","0.05","6,677,094.06","3,532,854.00","1.89","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DOO","BRP SUBORDINATE VOTING INC","Consumer Discretionary","Equity","6,515,438.09","0.04","6,515,438.09","145,207.00","44.87","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IPCO","INTERNATIONAL PETROLEUM CORP","Energy","Equity","6,358,629.90","0.04","6,358,629.90","320,334.00","19.85","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PMZ.UN","PRIMARIS REAL ESTATE INVESTMENT UN","Real Estate","Equity","6,276,584.60","0.04","6,276,584.60","438,922.00","14.30","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SII","SPROTT INC","Financials","Equity","6,222,671.10","0.04","6,222,671.10","85,359.00","72.90","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NGEX","NGEX MINERALS LTD","Materials","Equity","6,159,869.46","0.04","6,159,869.46","527,838.00","11.67","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SPB","SUPERIOR PLUS CORP","Utilities","Equity","6,044,915.76","0.04","6,044,915.76","911,752.00","6.63","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CEU","CES ENERGY SOLUTIONS CORP","Energy","Equity","6,025,772.80","0.04","6,025,772.80","941,527.00","6.40","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ERO","ERO COPPER CORP","Materials","Equity","6,010,517.52","0.04","6,010,517.52","397,521.00","15.12","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"VET","VERMILION ENERGY INC","Energy","Equity","5,928,169.50","0.04","5,928,169.50","657,225.00","9.02","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BBU.UN","BROOKFIELD BUSINESS PARTNERS UNITS","Industrials","Equity","5,927,857.44","0.04","5,927,857.44","209,317.00","28.32","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EDR","ENDEAVOUR SILVER CORP","Materials","Equity","5,835,080.60","0.04","5,835,080.60","1,113,565.00","5.24","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SIA","SIENNA SENIOR LIVING INC","Health Care","Equity","5,806,059.20","0.04","5,806,059.20","354,028.00","16.40","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EFR","ENERGY FUELS INC","Energy","Equity","5,747,895.78","0.04","5,747,895.78","841,566.00","6.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SEA","SEABRIDGE GOLD INC","Materials","Equity","5,684,375.76","0.04","5,684,375.76","327,441.00","17.36","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"POU","PARAMOUNT RESOURCE LTD CLASS A","Energy","Equity","5,667,178.40","0.04","5,667,178.40","335,336.00","16.90","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TCL.A","TRANSCONTINENTAL SUB VOTING INC CL","Materials","Equity","5,580,612.76","0.04","5,580,612.76","314,933.00","17.72","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"JWEL","JAMIESON WELLNESS INC","Consumer Staples","Equity","5,512,200.84","0.04","5,512,200.84","176,334.00","31.26","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AYA","AYA GOLD & SILVER INC","Materials","Equity","5,358,868.40","0.04","5,358,868.40","480,616.00","11.15","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"HWX","HEADWATER EXPLORATION INC","Energy","Equity","5,357,166.32","0.04","5,357,166.32","917,323.00","5.84","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PET","PET VALU HOLDINGS LTD","Consumer Discretionary","Equity","5,274,878.40","0.04","5,274,878.40","199,806.00","26.40","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BDGI","BADGER INFRASTRUCTURE SOLUTIONS LT","Industrials","Equity","5,235,463.68","0.04","5,235,463.68","143,516.00","36.48","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WPK","WINPAK LTD","Materials","Equity","5,059,648.80","0.03","5,059,648.80","122,480.00","41.31","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CJT","CARGOJET INC","Industrials","Equity","5,039,855.45","0.03","5,039,855.45","66,815.00","75.43","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LB","LAURENTIAN BANK OF CANADA","Financials","Equity","5,036,714.27","0.03","5,036,714.27","187,867.00","26.81","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EFX","ENERFLEX LTD","Energy","Equity","4,915,489.16","0.03","4,915,489.16","527,413.00","9.32","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BDT","BIRD CONSTRUCTION INC","Industrials","Equity","4,898,834.60","0.03","4,898,834.60","234,394.00","20.90","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PXT","PAREX RESOURCES INC","Energy","Equity","4,899,011.40","0.03","4,899,011.40","420,516.00","11.65","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ARE","AECON GROUP INC","Industrials","Equity","4,597,891.74","0.03","4,597,891.74","265,161.00","17.34","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NWH.UN","NORTHWEST HEALTHCARE PROPERTIES UN","Real Estate","Equity","4,582,014.50","0.03","4,582,014.50","935,105.00","4.90","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CRT.UN","CT REIT UNITS TRUST","Real Estate","Equity","4,499,252.17","0.03","4,499,252.17","304,621.00","14.77","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ENGH","ENGHOUSE SYSTEMS LTD","Information Technology","Equity","4,437,606.41","0.03","4,437,606.41","182,093.00","24.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MTL","MULLEN GROUP LTD","Industrials","Equity","4,376,245.50","0.03","4,376,245.50","348,150.00","12.57","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NG","NOVAGOLD RESOURCES INC","Materials","Equity","4,203,957.36","0.03","4,203,957.36","1,020,378.00","4.12","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NFI","NFI GROUP INC","Industrials","Equity","4,174,821.75","0.03","4,174,821.75","368,475.00","11.33","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KEL","KELT EXPLORATION LTD","Energy","Equity","4,060,399.62","0.03","4,060,399.62","701,278.00","5.79","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PSI","PASON SYSTEMS INC","Energy","Equity","3,691,497.84","0.03","3,691,497.84","329,304.00","11.21","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PD","PRECISION DRILLING CORP","Energy","Equity","3,557,009.76","0.02","3,557,009.76","59,244.00","60.04","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MLPFT","CASH COLLATERAL CAD MLPFT","Cash and/or Derivatives","Cash Collateral and Margins","3,466,000.00","0.02","3,466,000.00","3,466,000.00","100.00","Canada","-","CAD","1.00","CAD"
"TOY","SPIN MASTER SUBORDINATE VOTING COR","Consumer Discretionary","Equity","3,180,917.20","0.02","3,180,917.20","143,608.00","22.15","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ASTL","ALGOMA STEEL GROUP INC","Materials","Equity","2,719,064.88","0.02","2,719,064.88","408,268.00","6.66","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TLRY","TILRAY BRANDS INC","Health Care","Equity","2,477,283.16","0.02","2,477,283.16","3,995,618.00","0.62","United States","Toronto Stock Exchange","CAD","1.00","CAD"
"MARGIN_CAD","FUTURES CAD MARGIN BALANCE","Cash and/or Derivatives","Cash Collateral and Margins","224,280.00","0.00","224,280.00","224,280.00","100.00","Canada","-","CAD","1.00","CAD"
"2299955D","CONSTELLATION SOFTWARE INC","Information Technology","Equity","0.61","0.00","0.61","60,915.00","0.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PTM5","S&P/TSE 60 INDEX JUN 25","Cash and/or Derivatives","Futures","0.00","0.00","51,602,200.00","178.00","1,449.50","-","The Montreal Exchange / Bourse De Montreal","CAD","1.00","CAD"
 